2025-11-12T22:34:47.663241 | 198.51.100.62 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=2 | mode=portal
2025-11-12T22:34:47.727843 | 198.51.100.220 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=portal
2025-11-12T22:36:07.519243 | 198.51.100.81 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=portal
2025-11-12T22:36:07.546786 | 198.51.100.218 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=portal
2025-11-12T22:37:46.098524 | 198.51.100.143 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=portal
2025-11-12T22:37:46.227630 | 198.51.100.22 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=portal
2025-11-12T22:37:46.238496 | 198.51.100.29 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=portal
2025-11-12T22:37:46.381958 | 198.51.100.218 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=shield
2025-11-12T22:37:46.495123 | 198.51.100.25 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=shield
2025-11-12T22:37:46.609795 | 198.51.100.173 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=shield
2025-11-12T22:37:46.720305 | 198.51.100.93 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=shield
2025-11-12T22:37:46.831357 | 198.51.100.205 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=shield
2025-11-12T22:37:46.866521 | 198.51.100.192 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:37:46.977839 | 198.51.100.8 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:37:47.088359 | 198.51.100.86 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=5 | mode=lockdown
2025-11-12T22:37:47.199857 | 198.51.100.47 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=3 | mode=lockdown
2025-11-12T22:37:47.310613 | 198.51.100.218 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=4 | mode=lockdown
2025-11-12T22:37:47.421676 | 198.51.100.190 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:37:47.532480 | 198.51.100.38 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
2025-11-12T22:37:47.543670 | 198.51.100.205 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=4 | mode=lockdown
2025-11-12T22:37:47.655500 | 198.51.100.65 -> 172.16.0.10 | ET DOS Possible DDoS amplification | risk=4 | mode=lockdown
2025-11-12T22:37:47.765885 | 198.51.100.58 -> 172.16.0.10 | ET BRUTEFORCE SSH Brute force attempt | risk=2 | mode=lockdown
2025-11-12T22:37:47.876584 | 198.51.100.124 -> 172.16.0.10 | ET SCAN Potential scan detected (NMAP) | risk=2 | mode=lockdown
2025-11-12T22:37:47.987311 | 198.51.100.224 -> 172.16.0.10 | ET EXPLOIT Possible buffer overflow | risk=4 | mode=lockdown
